date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:40	114/114	---M-Z	200	added ('OK')	text/plain	date:Mon,%2026%20Aug%202024%2016:32:40%20GMT	https://wpriverthemes.com/robots.txt		(from )
17:32:41	13912/13912	---M-Z	200	added ('OK')	text/html	etag:%223658-6429ad24-8afe1ca80d349f39;gz%22	https://wpriverthemes.com/landing/gridx-html/index.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/index.html	(from )
17:32:50	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2016:32:50%20GMT	https://fonts.gstatic.com/	/Users/ray/websites/cvuju222/fonts.gstatic.com/index.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:08	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-6429ad26-ebca0059c3b2dc20;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/css/bootstrap.min.css	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:09	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-6429ad27-8ba574b1962c6caa;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/css/aos.css	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/css/aos.css	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:09	46408/46408	---M-Z	200	added ('OK')	text/css	etag:%22b548-6429ad27-30f821eec5447fcc;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/css/style.css	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/css/style.css	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:11	3313/3313	---M-Z	200	added ('OK')	image/svg+xml	etag:%22cf1-6429ad26-305f4239479ff62f;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/images/logo.svg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/logo.svg	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:12	10181/10181	---M-Z	200	added ('OK')	text/html	etag:%2227c5-6429ad23-8b8a47d323748e37;gz%22	https://wpriverthemes.com/landing/gridx-html/about.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/about.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:13	11330/11330	---M-Z	200	added ('OK')	text/html	etag:%222c42-6429ad24-2b3adbecdad0dffc;gz%22	https://wpriverthemes.com/landing/gridx-html/works.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/works.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:13	2694972/2694972	---M-Z	200	added ('OK')	text/css	etag:W/%22291f3c-GF6ylboDfOY7MWzPKXc7kte7hiI%22	https://cdn.jsdelivr.net/gh/iconoir-icons/iconoir@main/css/iconoir.css	/Users/ray/websites/cvuju222/cdn.jsdelivr.net/gh/iconoir-icons/iconoir@main/css/iconoir.css	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:15	7669/7669	---M-Z	200	added ('OK')	text/html	etag:%221df5-6429ad23-65936ae364f19f58;gz%22	https://wpriverthemes.com/landing/gridx-html/contact.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/contact.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:16	113367/113367	---M--	200	added ('OK')	image/png	etag:%221bad7-6429ad27-a4ba6eaefd643bfd;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/bg1.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/bg1.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:17	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2016:33:17%20GMT	https://fonts.googleapis.com/	/Users/ray/websites/cvuju222/fonts.googleapis.com/index.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:17	112827/112827	---M--	200	added ('OK')	image/png	etag:%221b8bb-6429ad24-3d0122eaeb833175;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/me.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/me.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:18	917/917	---M-Z	200	added ('OK')	image/svg+xml	etag:%22395-6429ad25-2df7a6d741bd31b0;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/images/icon.svg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/icon.svg	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:19	1700/1700	---M-Z	200	added ('OK')	image/svg+xml	etag:%226a4-6429ad26-ea8eab7da70dd566;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/images/star1.svg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/star1.svg	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:20	11430/11430	---M-Z	200	added ('OK')	text/html	etag:%222ca6-6429ad24-9709e5536705879b;gz%22	https://wpriverthemes.com/landing/gridx-html/credentials.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/credentials.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:21	5536/5536	---M--	200	added ('OK')	image/png	etag:%2215a0-6429ad25-f54b245c3e9571d;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/sign.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/sign.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:22	21307/21307	---M--	200	added ('OK')	image/png	etag:%22533b-6429ad25-24c012510ffe4c06;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/my-works.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/my-works.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:23	10970/10970	---M-Z	200	added ('OK')	text/html	etag:%222ada-6429ad23-2cc280cfbbc6bd28;gz%22	https://wpriverthemes.com/landing/gridx-html/blog.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/blog.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:24	4306/4306	---M--	200	added ('OK')	image/png	etag:%2210d2-6429ad25-9205322258caf7cd;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/gfonts.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/gfonts.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:25	10669/10669	---M-Z	200	added ('OK')	text/html	etag:%2229ad-6429ad24-ce873de0f5cdd595;gz%22	https://wpriverthemes.com/landing/gridx-html/service.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/service.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:26	713/713	---M--	200	added ('OK')	image/png	etag:%222c9-6429ad25-b4f3f61ded52f5aa;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/icon2.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/icon2.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:28	292458/292458	---M-Z	200	added ('OK')	application/x-javascript	etag:%224766a-6429ad25-37468d06e6f508de;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/js/jquery-3.6.4.js	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/js/jquery-3.6.4.js	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:28	78743/78743	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213397-6429ad24-2648adffb3ac6656;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/js/bootstrap.bundle.min.js	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/js/bootstrap.bundle.min.js	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:29	14239/14239	---M-Z	200	added ('OK')	application/x-javascript	etag:%22379f-6429ad24-3064baac1f4844e8;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/js/aos.js	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/js/aos.js	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:30	836/836	---M-Z	200	added ('OK')	application/x-javascript	etag:%22344-6429ad24-99adb91e266556eb;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/js/main.js	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/js/main.js	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:32	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2026%20Aug%202024%2016:33:31%20GMT	https://fonts.googleapis.com/robots.txt		(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:32	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2016:33:32%20GMT	https://fonts.gstatic.com/robots.txt		(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:34	217373/217373	---M--	200	added ('OK')	image/png	etag:%223511d-6429ad26-1fd1db2f302de09e;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/me2.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/me2.png	(from https://wpriverthemes.com/landing/gridx-html/about.html)
17:33:34	1832/1832	---MC-	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2016:33:34%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@100;200;300;400;500;600;700;800&display=swap	/Users/ray/websites/cvuju222/fonts.googleapis.com/css2e7a5	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:35	1547/1547	---M--	200	added ('OK')	image/png	etag:%2260b-6429ad25-6d267c5a8a01b375;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/star-2.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/star-2.png	(from https://wpriverthemes.com/landing/gridx-html/about.html)
17:33:35	9633/9633	---M-Z	200	added ('OK')	text/html	etag:%2225a1-6429ad23-998f48c794cfa136;gz%22	https://wpriverthemes.com/landing/gridx-html/work-details.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/work-details.html	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:33:36	7630/7630	---M--	200	added ('OK')	image/jpeg	etag:%221dce-6429ad26-4f22a5e3f424b18c;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/project1.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project1.jpg	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:33:37	12966/12966	---M--	200	added ('OK')	image/jpeg	etag:%2232a6-6429ad25-f4fa3c3e456279bd;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/project2.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project2.jpg	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:33:38	32157/32157	---M--	200	added ('OK')	image/jpeg	etag:%227d9d-6429ad24-30a878af6259aed1;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/project3.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project3.jpg	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:33:39	20283/20283	---M--	200	added ('OK')	image/jpeg	etag:%224f3b-6429ad25-a5a10b80dcc49e4d;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/project4.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project4.jpg	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:33:40	31135/31135	---M--	200	added ('OK')	image/jpeg	etag:%22799f-6429ad25-facf8b0763e8317c;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/project5.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project5.jpg	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:33:41	25419/25419	---M--	200	added ('OK')	image/jpeg	etag:%22634b-6429ad26-17deb914997a5847;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/project6.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project6.jpg	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:33:42	761/761	---M--	200	added ('OK')	image/png	etag:%222f9-6429ad25-720ff301375dc74e;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/icon3.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/icon3.png	(from https://wpriverthemes.com/landing/gridx-html/contact.html)
17:33:43	2051/2051	---M-Z	200	added ('OK')	application/x-javascript	etag:%22803-6429ad24-467f8de9ab43b187;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/js/ajax-form.js	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/js/ajax-form.js	(from https://wpriverthemes.com/landing/gridx-html/contact.html)
17:33:44	78582/78582	---M--	200	added ('OK')	image/jpeg	etag:%22132f6-6429ad25-77dbe25cca4aa0f4;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/blog1.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/blog1.jpg	(from https://wpriverthemes.com/landing/gridx-html/blog.html)
17:33:45	13938/13938	---M-Z	200	added ('OK')	text/html	etag:%223672-6429ad24-f57bd58286a95149;gz%22	https://wpriverthemes.com/landing/gridx-html/blog-details.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/blog-details.html	(from https://wpriverthemes.com/landing/gridx-html/blog.html)
17:33:47	143871/143871	---M--	200	added ('OK')	image/jpeg	etag:%22231ff-6429ad26-cb98cc1c327df364;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/blog2.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/blog2.jpg	(from https://wpriverthemes.com/landing/gridx-html/blog.html)
17:33:48	12255/12255	---M--	200	added ('OK')	image/png	etag:%222fdf-6429ad26-51e2ff6c0731541a;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/comment.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/comment.png	(from https://wpriverthemes.com/landing/gridx-html/blog-details.html)
17:33:49	48788/48788	---M--	200	added ('OK')	image/jpeg	etag:%22be94-6429ad25-a693cbe95fb3a23;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/project-dt-1.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project-dt-1.jpg	(from https://wpriverthemes.com/landing/gridx-html/work-details.html)
17:33:53	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:33:52%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/me.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/me.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:53	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:33:52%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/me2.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/me2.png	(from https://wpriverthemes.com/landing/gridx-html/about.html)
17:33:56	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:33:49%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/bg1.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/bg1.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
17:33:58	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:33:52%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/star-2.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/star-2.png	(from https://wpriverthemes.com/landing/gridx-html/about.html)
17:33:58	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:33:58%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/project-dt-1.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/project-dt-1.jpg	(from https://wpriverthemes.com/landing/gridx-html/work-details.html)
17:34:00	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:34:00%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/comment.png	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/comment.png	(from https://wpriverthemes.com/landing/gridx-html/blog-details.html)
17:34:00	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:33:54%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/blog2.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/blog2.jpg	(from https://wpriverthemes.com/landing/gridx-html/blog.html)
17:34:01	864/864	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Mon,%2026%20Aug%202024%2016:33:54%20GMT	https://wpriverthemes.com/landing/gridx-html/assets/images/blog1.jpeg	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/assets/images/blog1.jpg	(from https://wpriverthemes.com/landing/gridx-html/blog.html)
17:34:01	182043/182043	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2016:34:00%20GMT	https://wpriverthemes.com/landing/gridx-html/true/	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/true/index.html	(from https://wpriverthemes.com/landing/gridx-html/assets/js/jquery-3.6.4.js)
17:34:02	9633/9633	---M--	200	added ('OK')	text/html	etag:%2225a1-6429ad23-998f48c794cfa136;;;%22	https://wpriverthemes.com/landing/gridx-html/work-details.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/work-details.html	(from https://wpriverthemes.com/landing/gridx-html/works.html)
17:34:03	13938/13938	---M--	200	added ('OK')	text/html	etag:%223672-6429ad24-f57bd58286a95149;;;%22	https://wpriverthemes.com/landing/gridx-html/blog-details.html	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/blog-details.html	(from https://wpriverthemes.com/landing/gridx-html/blog.html)
17:34:03	182043/182043	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2016:34:02%20GMT	https://wpriverthemes.com/landing/gridx-html/dist/	/Users/ray/websites/cvuju222/wpriverthemes.com/landing/gridx-html/dist/index.html	(from https://wpriverthemes.com/landing/gridx-html/assets/js/aos.js)
